tweet_id,tweet_content,timestamp
'878707857860034560,n/b 2 &amp; 5 service changes and delays due to a train with mechanical problems at 3 Av-149 St. See https://t.co/vhZQ2kZ2vb,Sat Jun 24 20:14:13 +0000 2017
'878704649045463041,"e/b  M train shuttle buses are detoured, Due to track work on Madison St at Cypress Av. See https://t.co/vhZQ2kZ2vb",Sat Jun 24 20:01:28 +0000 2017
'878704571723509762,"Update:  2 and 5 trains at 3 Av-149 St, Maintainers are on the scene making repairs.  We will keep you updated.",Sat Jun 24 20:01:10 +0000 2017
'878704500227420160,"b/d  E, F and R trains are running with delays, Due to track maintenance between 71 Av and Queens Plaza. Allow additional travel time.",Sat Jun 24 20:00:53 +0000 2017
'878695840755441664,"Following an earlier incident at 3 Av-149 St, 2 and 5 train service has resumed with delays.",Sat Jun 24 19:26:28 +0000 2017
'878686270440042496,"Following an earlier incident at Bedford Av, L train service has resumed with delays.",Sat Jun 24 18:48:26 +0000 2017
'878685154964885504,Near #FultonCenter? Stop by the @NYTransitMuseum popup shop open 7 days a week. https://t.co/qFCR6g5p14,Sat Jun 24 18:44:00 +0000 2017
'878683612043988992,n/b 2 &amp; 5 e changes and delays due to signal problems at 3 Av-149 St. Details at https://t.co/vhZQ2kZ2vb,Sat Jun 24 18:37:52 +0000 2017
'878682373801611264,"b/d L trains are running with delays, due to a train with mechanical problems at Bedford Av. Allow additional travel time.",Sat Jun 24 18:32:57 +0000 2017
'878676609250861056,"e/b M train shuttle buses are detoured, Due to track work on Madison St at Cypress Av. See https://t.co/vhZQ2kZ2vb",Sat Jun 24 18:10:03 +0000 2017
'878676538048352258,"Update: 2 and 5 trains at 3 Av-149 St, Maintainers are on the scene making repairs.  We will keep you updated.",Sat Jun 24 18:09:46 +0000 2017
'878676450156654593,"b/d E, F and R trains are running with delays, Due to track maintenance between 71 Av and Queens Plaza. Allow additional travel time.",Sat Jun 24 18:09:25 +0000 2017
'878673424675213312,Update: 2 and 5 trains at 3 Av-149 St. Maintainers are on the scene making repairs.  We will keep you updated.,Sat Jun 24 17:57:24 +0000 2017
'878665417270624261,"Due to an earlier incident at 74 St-Broadway, 7 train service has resumed with delays.",Sat Jun 24 17:25:34 +0000 2017
